Province,Seats,Party,Allegiance,Votes,Weight,Senate_Seats
,,Frente Renovador,PJ,10,,
,,Patriotico Laborista,Independiente,8.7,,
,,Libres al Sur,Izquierda,3.8,,
,,UNITE,Derecha,2.5,,
,,FIT,Izquierda,1.8,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Tierra Del Fuego,2,JxC,JxC,37.9,0.0039,0
,,Frente de Todos,PJ,33.5,,
,,Somos Fueguinos,Independiente,12.6,,
,,FIT,Izquierda,4.6,,
,,Republicanos Unidos,Libertario,6,,
,,MAS,Izquierda,2.1,,
,,MPF,Independiente,3.3,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
Tucuman,4,JxC,JxC,35.9,0.0364,3
,,Frente de Todos,PJ,50.9,,
,,Fuerza Republicana,Independiente,7.6,,
,,FIT,Izquierda,2.7,,
,,FAT,Izquierda,2.9,,
,,Total,,100,,
,,Blanco,,0,,
,,Nulos,,0,,
